Route,Location,URL,Avg Stars,Num Ratings,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Right Wannabe,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810999/right-wannabe,1.9,7,-1,Boulder,V0,1,,31.92169,-106.0425
Left Wannabe,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810994/left-wannabe,1.9,8,-1,Boulder,V1,1,,31.92169,-106.0425
Left of Les,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810714/left-of-les,2.6,8,-1,Boulder,V2,1,,31.92169,-106.0425
Local Flakes,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810728/local-flakes,3.2,18,-1,Boulder,V2,1,,31.92169,-106.0425
Twisted,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105953378/twisted,2.0,3,-1,Boulder,V3,1,,31.92169,-106.0425
Crap Arete,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810983/crap-arete,1.0,1,-1,Boulder,V4,1,,31.92169,-106.0425
Left El Murray,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810709/left-el-murray,3.7,20,-1,Boulder,V6,1,,31.92169,-106.0425
Center El Murray,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810720/center-el-murray,3.8,23,-1,Boulder,V6,1,,31.92169,-106.0425
That's Entertainment,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810980/thats-entertainment,2.0,2,-1,Boulder,V6,1,,31.92169,-106.0425
My Fifteen Minutes,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810990/my-fifteen-minutes,3.0,4,-1,Boulder,V7,1,,31.92169,-106.0425
Mushroom Roof,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810703/mushroom-roof,3.9,23,-1,Boulder,V8,1,15,31.92169,-106.0425
Right El Murray,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810724/right-el-murray,3.2,5,-1,Boulder,V8,1,,31.92169,-106.0425
The Woman With a Hueco in Her Head,Mushroom Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810987/the-woman-with-a-hueco-in-her-head,2.0,1,-1,Boulder,V10,1,,31.92169,-106.0425
Picnic Jugs,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107075183/picnic-jugs,2.1,7,-1,Boulder,V0- PG13,1,25,31.926,-106.0449
Decent Warm Up,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107152429/decent-warm-up,1.3,11,-1,Boulder,V0-,1,15,31.926,-106.0449
Bumble in the jungle,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/114576663/bumble-in-the-jungle,1.5,9,-1,Boulder,V0,1,,31.926,-106.0449
Dumbo,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/114576667/dumbo,2.0,5,-1,Boulder,V0,1,,31.926,-106.0449
Elder statesman,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/114576673/elder-statesman,1.8,4,-1,Boulder,V0,1,,31.926,-106.0449
Juju wall,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/114576678/juju-wall,2.4,11,-1,Boulder,V0,1,,31.926,-106.0449
Loopzilla,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/114576682/loopzilla,1.6,6,-1,Boulder,V0,1,,31.926,-106.0449
Big Time,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106100326/big-time,2.5,11,-1,Boulder,V0+,1,,31.926,-106.0449
Tree Killer,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107052286/tree-killer,3.0,2,-1,Boulder,V0+,1,,31.926,-106.0449
Barnstormer,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107063012/barnstormer,2.4,11,-1,Boulder,V1,1,15,31.926,-106.0449
Big shot,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/114576686/big-shot,2.0,1,-1,Boulder,V1,1,,31.926,-106.0449
Thunderbird,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105841017/thunderbird,2.5,37,-1,Boulder,V1+,1,15,31.926,-106.0449
The Butter Dish,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811213/the-butter-dish,2.6,16,-1,Boulder,V2,1,,31.926,-106.0449
Name Dropper,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810741/name-dropper,2.7,31,-1,Boulder,V3,1,,31.926,-106.0449
Pounding System,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810746/pounding-system,2.6,11,-1,Boulder,V4,1,,31.926,-106.0449
The Murray Lunge,Warm Up Boulder > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106100322/the-murray-lunge,2.5,6,-1,Boulder,V6,1,,31.926,-106.0449
Lughead,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/108720062/lughead,2.0,48,-1,Boulder,V0-,1,,31.9246,-106.0433
Lugarm,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/126633184/lugarm,1.0,3,-1,Boulder,V0,1,12,31.9246,-106.0433
Lugleg,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/200738915/lugleg,1.0,1,-1,Boulder,V0,1,12,31.9246,-106.0433
Postverse,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/123238482/postverse,2.1,13,-1,Boulder,V1,1,,31.9246,-106.0433
Cathedral Corner,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/124123856/cathedral-corner,2.9,13,-1,Boulder,V1,1,,31.9246,-106.0433
Spinner,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/124124016/spinner,1.7,7,-1,Boulder,V1,1,,31.9246,-106.0433
Oh Dam,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/200752072/oh-dam,1.0,6,-1,Boulder,V1,1,7,31.9246,-106.0433
Rocking Cradle,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/110033738/rocking-cradle,1.3,1,-1,Boulder,V1,1,,31.9246,-106.0433
Two Percent,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/112420631/two-percent,2.4,9,-1,Boulder,V2,1,10,31.9246,-106.0433
Subverse,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/200752137/subverse,1.0,1,-1,Boulder,V2,1,14,31.9246,-106.0433
Crossing Over,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/124123943/crossing-over,1.6,7,-1,Boulder,V3,1,,31.9246,-106.0433
Proverse,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/125570117/proverse,2.4,9,-1,Boulder,V3,1,,31.9246,-106.0433
Sign of the Cross,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810762/sign-of-the-cross,3.1,69,-1,Boulder,V3,1,,31.9246,-106.0433
Skimmer,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106299927/skimmer,2.9,5,-1,Boulder,V3,1,10,31.9246,-106.0433
The Thin White Line,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/113881212/the-thin-white-line,1.6,211,-1,Boulder,V3,1,11,31.9246,-106.0433
Perverse,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/123356421/perverse,2.4,15,-1,Boulder,V4,1,,31.9246,-106.0433
Sign of the Boss,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/200465789/sign-of-the-boss,1.0,1,-1,Boulder,V4,1,15,31.9246,-106.0433
Adverse,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/200752116/adverse,2.0,1,-1,Boulder,V4,1,14,31.9246,-106.0433
Sign Of The Simmons,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106393161/sign-of-the-simmons,2.0,5,-1,Boulder,V5,1,,31.9246,-106.0433
Perverse Cowgirl,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/122258799/perverse-cowgirl,2.8,13,-1,Boulder,V6,1,10,31.9246,-106.0433
Choir Boys Lite,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810759/choir-boys-lite,3.2,50,-1,Boulder,V7,1,,31.9246,-106.0433
Nuns On Their Knees,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/108382246/nuns-on-their-knees,3.0,6,-1,Boulder,V8,1,15,31.9246,-106.0433
Choir Boys,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810756/choir-boys,3.6,29,-1,Boulder,V9,1,15,31.9246,-106.0433
Hedgehog (AKA City Slicker),Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/121470831/hedgehog-aka-city-slicker,3.0,3,-1,Boulder,V9,1,10,31.9246,-106.0433
Chablanke,Sign of the Cross > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105810766/chablanke,2.0,3,-1,Boulder,V11-12,1,,31.9246,-106.0433
Schadenfraud,Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106299921/schadenfraud,2.4,34,-1,Boulder,V5,1,10,31.92168,-106.04317
Baby Martini,Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811210/baby-martini,3.5,115,-1,Boulder,V6,1,25,31.92168,-106.04317
Big Iron on His Hip,Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811169/big-iron-on-his-hip,3.0,37,-1,Boulder,V7,1,15,31.92168,-106.04317
Martini Hotbox,Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107876303/martini-hotbox,1.8,28,-1,Boulder,V9,1,15,31.92168,-106.04317
Dirty Martini on the Rocks,Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/109822802/dirty-martini-on-the-rocks,3.3,1,-1,Boulder,V9,1,15,31.92168,-106.04317
Martini Vortex,Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/127404031/martini-vortex,4.0,19,-1,Boulder,V9,1,,31.92168,-106.04317
"Martini Roof AKA Left Martini, The Toastmaster",Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811013/martini-roof-aka-left-martini-the-toastmaster,3.1,16,-1,Boulder,V10,1,,31.92168,-106.04317
Tequila Sunrise,Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/118164573/tequila-sunrise,4.0,6,-1,Boulder,V11-12,1,15,31.92168,-106.04317
Shaken Not Stirred,Martini Roof area > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811197/shaken-not-stirred,3.4,5,-1,Boulder,V12,1,35,31.92168,-106.04317
Pull the Pin,The Grenade > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811235/pull-the-pin,2.0,40,-1,Boulder,V1,1,,31.9221,-106.0438
Nobody Here Gets Out Alive,The Grenade > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811221/nobody-here-gets-out-alive,3.9,603,-1,Boulder,V2,1,,31.9221,-106.0438
No One Gets Out of Jaxons Alive,The Grenade > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811238/no-one-gets-out-of-jaxons-alive,2.7,68,-1,Boulder,V3-4,1,,31.9221,-106.0438
Fire In the Hole,The Grenade > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/113834484/fire-in-the-hole,1.8,5,-1,Boulder,V4,1,,31.9221,-106.0438
Nobody Original Start,The Grenade > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/116381555/nobody-original-start,2.8,13,-1,Boulder,V4,1,30,31.9221,-106.0438
Dean's Trip,The Grenade > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811232/deans-trip,2.9,58,-1,Boulder,V5,1,,31.9221,-106.0438
Nobody left,The Grenade > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/112344078/nobody-left,2.0,9,-1,Boulder,V5-6,1,,31.9221,-106.0438
Dope Fiend,100 Proof Roof > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/117990218/dope-fiend,1.6,48,-1,Boulder,V3 PG13,1,,31.9222,-106.0436
100 Proof Roof,100 Proof Roof > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811250/100-proof-roof,2.9,10,-1,Boulder,V3,1,,31.9222,-106.0436
Wild Turkey,100 Proof Roof > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811247/wild-turkey,3.4,24,-1,Boulder,V6,1,,31.9222,-106.0436
Mexican Chicken,100 Proof Roof > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/109861770/mexican-chicken,3.6,67,-1,Boulder,V6 PG13,1,,31.9222,-106.0436
Fern Roof,100 Proof Roof > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811253/fern-roof,2.9,25,-1,Boulder,V7+,1,,31.9222,-106.0436
Dope Fiend Low,100 Proof Roof > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107068467/dope-fiend-low,2.7,23,-1,Boulder,V9 PG13,1,18,31.9222,-106.0436
Brut,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/111615388/brut,2.3,7,-1,Boulder,V0,1,18,31.9217,-106.0456
Aftershave,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/116077231/aftershave,3.0,7,-1,Boulder,V0 PG13,1,,31.9217,-106.0456
The Used Blade,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107052321/the-used-blade,1.9,20,-1,Boulder,V0+,1,12,31.9217,-106.0456
The Reject,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/111615394/the-reject,1.0,2,-1,Boulder,V1,1,,31.9217,-106.0456
Dry Shave,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/116153585/dry-shave,1.7,1,-1,Boulder,V2,1,20,31.9217,-106.0456
Babyface,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/120086024/babyface,1.0,9,-1,Boulder,V2,1,10,31.9217,-106.0456
Squatter's Rights,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/117990272/squatters-rights,2.0,1,-1,Boulder,V3,1,,31.9217,-106.0456
The Glove,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/200227589/the-glove,2.0,2,-1,Boulder,V3,1,9,31.9217,-106.0456
Call Me Nick,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/116153569/call-me-nick,2.3,3,-1,Boulder,V3,1,15,31.9217,-106.0456
Mesozoic,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/117604166/mesozoic,2.0,4,-1,Boulder,V4,1,15,31.9217,-106.0456
Zulu Flex,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811264/zulu-flex,2.1,17,-1,Boulder,V6-7,1,,31.9217,-106.0456
Daily Dick Dose,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811259/daily-dick-dose,3.2,140,-1,Boulder,V7,1,,31.9217,-106.0456
Baby Face,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811271/baby-face,3.8,113,-1,Boulder,V7,1,,31.9217,-106.0456
Paleozoic,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106423985/paleozoic,1.9,14,-1,Boulder,V7,1,15,31.9217,-106.0456
Roger in a bath,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/117698388/roger-in-a-bath,1.5,2,-1,Boulder,V7,1,10,31.9217,-106.0456
WPA,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107879267/wpa,1.7,3,-1,Boulder,V7,1,8,31.9217,-106.0456
Pumped Full of Semen,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811267/pumped-full-of-semen,2.1,36,-1,Boulder,V8,1,,31.9217,-106.0456
Rogered in the Shower,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/120086036/rogered-in-the-shower,3.0,2,-1,Boulder,V10,1,10,31.9217,-106.0456
Flying Marcel,Trac II > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811275/flying-marcel,2.7,3,-1,Boulder,V10-11,1,25,31.9217,-106.0456
Gumby Direct,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107995382/gumby-direct,1.9,33,-1,Boulder,V0,1,,31.9232,-106.0437
Pushy lady,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/125808581/pushy-lady,2.0,1,-1,Boulder,V0 R,1,16,31.9232,-106.0437
Spooky,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/200735793/spooky,1.0,1,-1,Boulder,V0,1,19,31.9232,-106.0437
Fici’s,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/123356545/ficis,1.5,4,-1,Boulder,V1,1,,31.9232,-106.0437
Gumby Traverse,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107995325/gumby-traverse,1.6,26,-1,Boulder,V1,1,,31.9232,-106.0437
MotherTrucker,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/109916389/mothertrucker,2.3,23,-1,Boulder,V1,1,10,31.9232,-106.0437
Beach Time,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/111000415/beach-time,1.9,15,-1,Boulder,V1,1,,31.9232,-106.0437
The Two Star Arete,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/109916425/the-two-star-arete,2.2,57,-1,Boulder,V2,1,12,31.9232,-106.0437
Money Sucks,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/123356601/money-sucks,1.1,9,-1,Boulder,V2,1,,31.9232,-106.0437
Mandalahaha,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/122033767/mandalahaha,1.5,4,-1,Boulder,V3,1,,31.9232,-106.0437
Loser's Dyno,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/123646769/losers-dyno,2.0,6,-1,Boulder,V3,1,10,31.9232,-106.0437
Everybody Wins,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107406284/everybody-wins,2.7,66,-1,Boulder,V3,1,15,31.9232,-106.0437
German Hatery,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/110126249/german-hatery,1.8,25,-1,Boulder,V3,1,,31.9232,-106.0437
La Delicate,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/112338924/la-delicate,2.4,29,-1,Boulder,V3,1,,31.9232,-106.0437
Blackmail,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/110126203/blackmail,2.3,21,-1,Boulder,V4,1,,31.9232,-106.0437
Pudgie pussack,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/112338913/pudgie-pussack,2.2,20,-1,Boulder,V4,1,,31.9232,-106.0437
Here Comes The Rooster,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/123170298/here-comes-the-rooster,2.0,2,-1,Boulder,V4-5,1,,31.9232,-106.0437
Time Bomb,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/115968286/time-bomb,1.0,2,-1,Boulder,V5,1,10,31.9232,-106.0437
"Lobsterclaw, AKA:Mr. Negative",The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105811638/lobsterclaw-akamr-negative,3.6,290,-1,Boulder,V5,1,,31.9232,-106.0437
King Cobra,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105812823/king-cobra,3.6,133,-1,Boulder,V6,1,,31.9232,-106.0437
Sourpuss,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/200382073/sourpuss,3.0,1,-1,Boulder,V6,1,15,31.9232,-106.0437
Rudy,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105812833/rudy,2.8,33,-1,Boulder,V7,1,,31.9232,-106.0437
Speed Bump,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105812836/speed-bump,3.2,74,-1,Boulder,V7,1,15,31.9232,-106.0437
Beer Can Traverse,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/111444526/beer-can-traverse,2.0,7,-1,Boulder,V7-8,1,,31.9232,-106.0437
Traffic Circle,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/120671509/traffic-circle,3.0,1,-1,Boulder,V8,-1,18,31.9232,-106.0437
Penis-Puss,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106240433/penis-puss,3.0,4,-1,Boulder,V8,1,25,31.9232,-106.0437
Shower Cap,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107271775/shower-cap,2.5,8,-1,Boulder,V8+,1,10,31.9232,-106.0437
Schwerer Gustov,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/116120221/schwerer-gustov,2.4,5,-1,Boulder,V10,1,,31.9232,-106.0437
Anal Intruder  10,The New Meadow > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/105812841/anal-intruder-10,1.7,7,-1,Boulder,V10-11,1,,31.9232,-106.0437
Split Crack,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106044759/split-crack,2.9,24,-1,Boulder,V0,1,20,31.92249,-106.04812
7-10 Split,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107063008/7-10-split,2.2,17,-1,Boulder,V0,1,15,31.92249,-106.04812
Banana Split,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/117927262/banana-split,1.8,5,-1,Boulder,V0 PG13,1,25,31.92249,-106.04812
Split Grain,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/117927308/split-grain,2.0,1,-1,Boulder,V1 PG13,1,25,31.92249,-106.04812
Splitter Splatter,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/123522916/splitter-splatter,2.3,3,-1,Boulder,V1,1,,31.92249,-106.04812
Divine Descent,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/108198794/divine-descent,2.5,2,-1,Boulder,V2,1,25,31.92249,-106.04812
A-Scape,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/119506252/a-scape,2.6,12,-1,Boulder,V3,1,10,31.92249,-106.04812
The A-Cup Team,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/125468779/the-a-cup-team,2.0,1,-1,Boulder,V3,1,13,31.92249,-106.04812
Ricardo Cracker,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/125468790/ricardo-cracker,2.0,1,-1,Boulder,V4,1,16,31.92249,-106.04812
Macromastia,Split & Malice Boulders > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/125468819/macromastia,3.0,1,-1,Boulder,V11,1,18,31.92249,-106.04812
Eye Gouger,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/111233099/eye-gouger,1.6,9,-1,Boulder,V0-,1,10,31.9224,-106.0433
Honey Hole,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/108005795/honey-hole,1.8,65,-1,Boulder,V0,1,11,31.9224,-106.0433
Chive Sucker,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/110201303/chive-sucker,1.8,41,-1,Boulder,V0,1,,31.9224,-106.0433
Baco Bit,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/110201316/baco-bit,1.5,29,-1,Boulder,V0,1,,31.9224,-106.0433
Man of Leisure,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/111233104/man-of-leisure,1.7,30,-1,Boulder,V0,1,9,31.9224,-106.0433
Women in Chains,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/126750885/women-in-chains,2.0,1,-1,Boulder,V0,1,20,31.9224,-106.0433
Men in Chains,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107052329/men-in-chains,2.6,102,-1,Boulder,V0,1,20,31.9224,-106.0433
Bawl and Chain,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/106420215/bawl-and-chain,2.8,101,-1,Boulder,V0+,1,18,31.9224,-106.0433
Bassin',The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/108005904/bassin,1.7,53,-1,Boulder,V0+,1,11,31.9224,-106.0433
Suckah Inna Yucca,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/122987362/suckah-inna-yucca,2.1,8,-1,Boulder,V0+,1,10,31.9224,-106.0433
Frankenstem,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/118329012/frankenstem,2.5,2,-1,Boulder,V1 R,1,30,31.9224,-106.0433
Woman of Leisure,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/122995009/woman-of-leisure,2.1,17,-1,Boulder,V1,1,10,31.9224,-106.0433
Chain Gang,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/123457496/chain-gang,2.5,4,-1,Boulder,V1,1,,31.9224,-106.0433
Mrs. Potatohead,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/107063494/mrs-potatohead,2.2,59,-1,Boulder,V1,1,8,31.9224,-106.0433
Mr. Potato Head,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/108780091/mr-potato-head,2.5,33,-1,Boulder,V1,1,14,31.9224,-106.0433
Spud Boy,The Small Potatoes > North Mountain > Hueco Tanks > Texas,https://www.mountainproject.com/route/111233090/spud-boy,1.9,13,-1,Boulder,V1 PG13,1,9,31.9224,-106.0433
